Paper Title,Authors,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
A probabilistic approach to multi-modal adaptive virtual fixtures,"Mühlbauer, Maximilian; Hulin, Thomas; Weber, Bernhard; Calinon, Sylvain; Stulp, Freek; Albu-Schäffer, Alin; Silvério, João;",2024,RA-L,improving input quality,Haptic,Virtual Fixtures,General Manipulation; Space Robotics,https://publications.idiap.ch/attachments/papers/2024/Muhlbauer_RAL_2024.pdf
Design and control of fully handheld microsurgical robot for active tremor cancellation,"Kim, Eunchan; Choi, Ingu; Yang, Sungwook;",2021,ICRA,improving input quality,Kinesthetic Control,Filtering,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9561200
A data-driven reinforcement learning solution framework for optimal and adaptive personalization of a hip exoskeleton,"Tu, Xikai; Li, Minhan; Liu, Ming; Si, Jennie; Huang, He Helen;",2021,ICRA,improving input quality,Kinesthetic Control,Reinforcement Learning,Assistive Robotics,https://arxiv.org/abs/2011.06116
Hierarchical intention tracking for robust human-robot collaboration in industrial assembly tasks,"Huang, Zhe; Mun, Ye-Ji; Li, Xiang; Xie, Yiqing; Zhong, Ninghan; Liang, Weihang; Geng, Junyi; Chen, Tan; Driggs-Campbell, Katherine;",2023,ICRA,improving input quality,Kinesthetic Control,Filtering,General Manipulation,https://arxiv.org/pdf/2203.09063
Adaptive Motion Scaling for Robot-Assisted Microsurgery Based on Hybrid Offline Reinforcement Learning and Damping Control,"Jiang, Peiyang; Li, Wei; Li, Yifan; Zhang, Dandan;",2024,ICRA,improving input quality,Gesture/Hand Tracking,Reinforcement Learning,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10611009
Safe execution of learned orientation skills with conic control barrier functions,"Shen, Zheng; Saveriano, Matteo; Abu-Dakka, Fares J; Haddadin, Sami;",2024,ICRA,minimizing input,Haptic,Optimization,General Manipulation,https://arxiv.org/abs/2403.05447
Collaborative robot-assisted endovascular catheterization with generative adversarial imitation learning,"Chi, Wenqiang; Dagnino, Giulio; Kwok, Trevor MY; Nguyen, Anh; Kundrat, Dennis; Abdelaziz, Mohamed EMK; Riga, Celia; Bicknell, Colin; Yang, Guang-Zhong;",2020,ICRA,minimizing time,Direct Control Interfaces,Reinforcement Learning; Divisible,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9196912/media#media
Haptic-guided path generation for remote car-like vehicles,"Fennel, Michael; Zea, Antonio; Hanebeck, Uwe D;",2021,RA-L,improving input quality,Haptic,Imitation Learning; Compliance Control,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/9384198
Intelligent locomotion planning with enhanced postural stability for lower-limb exoskeletons,"Mehr, Javad K; Sharifi, Mojtaba; Mushahwar, Vivian K; Tavakoli, Mahdi;",2021,RA-L,improving input quality,Kinesthetic Control,Compliance Control; Optimization; Filtering,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9495154
Fast obstacle avoidance based on real-time sensing,"Huber, Lukas; Slotine, Jean-Jacques; Billard, Aude;",2022,RA-L,improving input quality,Direct Control Interfaces,Filtering,Assistive Robotics,https://arxiv.org/abs/2205.04928
Distilling and retrieving generalizable knowledge for robot manipulation via language corrections,"Zha, Lihan; Cui, Yuchen; Lin, Li-Heng; Kwon, Minae; Arenas, Montserrat Gonzalez; Zeng, Andy; Xia, Fei; Sadigh, Dorsa;",2024,ICRA,minimizing input,Language Controller,LLM,General Manipulation,https://arxiv.org/abs/2311.10678
Faster confined space manufacturing teleoperation through dynamic autonomy with task dynamics imitation learning,"Owan, Parker; Garbini, Joseph; Devasia, Santosh;",2020,RA-L,minimizing time,Haptic,Traded Control,Industrial Robotics,https://ieeexplore.ieee.org/abstract/document/8976114
Motion mappings for continuous bilateral teleoperation,"Gao, Xiao; Silvério, Joao; Pignat, Emmanuel; Calinon, Sylvain; Li, Miao; Xiao, Xiaohui;",2021,RA-L,improving input quality,Kinesthetic Control,Generative Modelling,General Manipulation,https://arxiv.org/pdf/2012.06268
Learning-based multimodal control for a supernumerary robotic system in human-robot collaborative sorting,"Du, Yuwei; Amor, Heni Ben; Jin, Jing; Wang, Qiang; Ajoudani, Arash;",2024,RA-L,improving input quality,Physiological Signal,Deep Learning,Assistive Robotics,
A hybrid model-based evolutionary optimization with passive boundaries for physical human-robot interaction,"Lahr, Gustavo JG; Garcia, Henrique B; Ajoudani, Arash; Boaventura, Thiago; Caurin, Glauco AP;",2022,ICRA,improving input quality,Haptic,Templates; Compliance Control; Optimization; Filtering,Medical Robotics,https://arxiv.org/abs/2203.00458
StROL: Stabilized and robust online learning from humans,"Mehta, Shaunak A; Meng, Forrest; Bajcsy, Andrea; Losey, Dylan P;",2024,RA-L,minimizing input,Kinesthetic Control,Reinforcement Learning,General Manipulation,https://arxiv.org/abs/2308.09863
Robot Grasping through a Joint-Initiative Supervised Autonomy Framework,"Sidaoui, Abbas; Daher, Naseem; Asmar, Daniel;",2022,ICRA,minimizing time,GUI,Supervisory,General Manipulation,https://ieeexplore.ieee.org/document/9811721
The flux one magnetic navigation system: a preliminary assessment for stent implantation,"Heunis, Christoff M; Silva, Bruno; Sereni, Giulia; Lam, Martijn CW; Belakhal, Besma; Gaborit, Arold; Wermelink, Bryan; Geelkerken, Bob RH; Misra, Sarthak;",2023,RA-L,minimizing time,Direct Control Interfaces; GUI; Haptic,Supervisory,Medical Robotics,https://ieeexplore.ieee.org/document/10160094
"Think, act, and ask: Open-world interactive personalized robot navigation","Dai, Yinpei; Peng, Run; Li, Sikai; Chai, Joyce;",2024,ICRA,minimizing time,Language Controller,LLM,Navigation Robotics,https://arxiv.org/abs/2310.07968
Force-guided high-precision grasping control of fragile and deformable objects using semg-based force prediction,"Wen, Ruoshi; Yuan, Kai; Wang, Qiang; Heng, Shuai; Li, Zhibin;",2020,RA-L,improving input quality,Physiological Signal,Optimization,Assistive Robotics,https://arxiv.org/abs/2002.01791
A-SEE: active-sensing end-effector enabled probe self-normal-positioning for robotic ultrasound imaging applications,"Ma, Xihan; Kuo, Wen-Yi; Yang, Kehan; Rahaman, Ashiqur; Zhang, Haichong K;",2022,RA-L,minimizing input,Direct Control Interfaces,Divisible,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9932673
Exploiting inherent human motor behaviour in the online personalisation of human-prosthetic interfaces,"Garcia-Rosas, Ricardo; Yu, Tianshi; Oetomo, Denny; Manzie, Chris; Tan, Ying; Choong, Peter;",2021,RA-L,improving input quality,Physiological Signal,Optimization,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9361165
Unified power and admittance adaptation for safe and effective physical interaction with unmodelled dynamic environments,"Benzi, Federico; Secchi, Cristian;",2023,RA-L,improving input quality,Kinesthetic Control,Compliance Control,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10295967
Proportional and reachable cluster teleoperation of a distributed multi-robot system,"Yang, Yuan; Constantinescu, Daniela; Shi, Yang;",2021,ICRA,maximizing output,Haptic,Multi-Robot Control,Emergency Response Robotics,https://ieeexplore.ieee.org/abstract/document/9561156
A Robot Humanoid Control Framework through Human Arm Active Endpoint Stiffness and Direction Adaptive Compensation,"Zhang, Chaoyi; Liu, Shiyang; Zeng, Chao; Jiang, Yiming; Luo, Jing;",2024,RA-L,improving input quality,Haptic; Kinesthetic Control,Compliance Control,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10599793
Dynamic locomotion teleoperation of a reduced model of a wheeled humanoid robot using a whole-body human-machine interface,"Wang, Sunyu; Ramos, Joao;",2021,RA-L,improving input quality,Haptic,Input Mapping,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/9664235
Learning latent actions without human demonstrations,"Mehta, Shaunak A; Parekh, Sagar; Losey, Dylan P;",2022,ICRA,minimizing input,Direct Control Interfaces,Input Blending; Intent/Goal Inference,Assistive Robotics,https://arxiv.org/abs/2109.08801v1
A novel assistive controller based on differential geometry for users of the differential-drive wheeled mobile robots,"Tafrishi, Seyed Amir; Ravankar, Ankit A; Luces, Jose Victorio Salazar; Hirata, Yasuhisa;",2022,ICRA,improving input quality,Direct Control Interfaces,Compliance Control; Optimization,Assistive Robotics,https://arxiv.org/abs/2202.01969
Semi-autonomous teleoperation via learning non-prehensile manipulation skills,"Park, Sangbeom; Chai, Yoonbyung; Park, Sunghyun; Park, Jeongeun; Lee, Kyungjae; Choi, Sungjoon;",2022,ICRA,minimizing time,GUI,Reinforcement Learning,General Manipulation,https://arxiv.org/abs/2109.13081
Accelerated robot learning via human brain signals,"Akinola, Iretiayo; Wang, Zizhao; Shi, Junyao; He, Xiaomin; Lapborisuth, Pawan; Xu, Jingxi; Watkins-Valls, David; Sajda, Paul; Allen, Peter;",2020,ICRA,minimizing input,Physiological Signal,Reinforcement Learning,Navigation Robotics,https://arxiv.org/abs/1910.00682
Enhancing the llm-based robot manipulation through human-robot collaboration,"Liu, Haokun; Zhu, Yaonan; Kato, Kenji; Tsukahara, Atsushi; Kondo, Izumi; Aoyama, Tadayoshi; Hasegawa, Yasuhisa;",2024,RA-L,minimizing time,VR/AR,LLM,General Manipulation,https://arxiv.org/abs/2406.14097
Assisting operators of articulated machinery with optimal planning and goal inference,"Yousefi, Ehsan; Losey, Dylan P; Sharf, Inna;",2022,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Intent/Goal Inference,Industrial Robotics,https://ieeexplore.ieee.org/document/9811864
Asha: Assistive teleoperation via human-in-the-loop reinforcement learning,"Chen, Sean; Gao, Jensen; Reddy, Siddharth; Berseth, Glen; Dragan, Anca D; Levine, Sergey;",2022,ICRA,improving input quality,Physiological Signal,Reinforcement Learning,Assistive Robotics,https://arxiv.org/abs/2202.02465
Monte Carlo tree search with spectral expansion for planning with dynamical systems,"Rivière, Benjamin; Lathrop, John; Chung, Soon-Jo;",2024,Science Robotics,improving input quality,Direct Control Interfaces,Planning,Assistive Robotics,https://arxiv.org/abs/2412.11270
Polite: Preferences combined with highlights in reinforcement learning,"Holk, Simon; Marta, Daniel; Leite, Iolanda;",2024,ICRA,minimizing input,GUI,Reinforcement Learning,Navigation Robotics,
A Laser-Guided Interaction Interface for Providing Effective Robot Assistance to People With Upper Limbs Impairments,"Torielli, Davide; Bertoni, Liana; Muratore, Luca; Tsagarakis, Nikos;",2024,RA-L,minimizing input,Physiological Signal,Input Mapping,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10602529
A step towards conditional autonomy-robotic appendectomy,"Zhang, Ruiyang; Chen, Junhong; Wang, Zeyu; Yang, Ziqi; Ren, Yunxiao; Shi, Peilun; Calo, James; Lam, Kyle; Purkayastha, Sanjay; Lo, Benny;",2023,RA-L,minimizing time,GUI,Generative Modelling,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10065461
Implicit neural field guidance for teleoperated robot-assisted surgery,"Zhang, Heng; Zhu, Lifeng; Shen, Jiangwei; Song, Aiguo;",2023,ICRA,improving input quality,Haptic,Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10160475
Dual-mode human-robot collaboration with guaranteed safety using time-varying zeroing control barrier functions and quadratic program,"Shi, Kaige; Hu, Guoqiang;",2023,RA-L,minimizing input,Kinesthetic Control,Traded Control,HRC,https://ieeexplore.ieee.org/abstract/document/10202187
Towards safe human-quadrotor interaction: Mixed-initiative control via real-time NMPC,"Carlos, Bárbara Barros; Franchi, Antonio; Oriolo, Giuseppe;",2021,RA-L,improving input quality,Simulation/Dataset,Optimization,UAV,https://ris.utwente.nl/ws/files/313959804/Towards_Safe_Human_Quadrotor_Interaction_Mixed_Initiative_Control_via_Real_Time_NMPC.pdf
Virtual fixture assistance for suturing in robot-aided pediatric endoscopic surgery,"Marinho, Murilo M; Ishida, Hisashi; Harada, Kanako; Deie, Kyoichi; Mitsuishi, Mamoru;",2020,RA-L,improving input quality,Haptic,Virtual Fixtures,Medical Robotics,https://arxiv.org/abs/1909.03724
"Effect of cognitive fatigue, operator sex, and robot assistance on task performance metrics, workload, and situation awareness in human-robot collaboration","Hopko, Sarah K; Khurana, Riya; Mehta, Ranjana K; Pagilla, Prabhakar R;",2021,RA-L,minimizing time,Direct Control Interfaces,Traded Control,Industrial Robotics,https://ieeexplore.ieee.org/abstract/document/9366358
Robot trust and self-confidence based role arbitration method for physical human-robot collaboration,"Wang, Qiao; Liu, Dikai; Carmichael, Marc G; Lin, Chin-Teng;",2023,ICRA,improving input quality,Kinesthetic Control,Input Blending,HRC,https://ieeexplore.ieee.org/abstract/document/10160711
"Enabling Embodied Human-Robot Co-Learning: Requirements, Method, and Test With Handover Task","Van Zoelen, Emma M; Veldman-Loopik, Hugo; van den Bosch, Karel; Neerincx, Mark; Abbink, David A; Peternel, Luka;",2024,RA-L,improving input quality,Kinesthetic Control,Reinforcement Learning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10806825
An effective head-based HRI for 6D robotic grasping using mixed reality,"Zhang, Chengjie; Lin, Chengyu; Leng, Yuquan; Fu, Zezheng; Cheng, Yaoyu; Fu, Chenglong;",2023,RA-L,minimizing input,Gesture/Hand Tracking; Language Controller,Optimization,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10080982
Improving tracking through human-robot sensory augmentation,"Li, Yanan; Eden, Jonathan; Carboni, Gerolamo; Burdet, Etienne;",2020,RA-L,improving input quality,Physiological Signal,Filtering,HRC,https://arxiv.org/abs/2002.07293
Iteratively Adding Latent Human Knowledge within Trajectory Optimization Specifications Improves Learning and Task Outcomes,"Chang, Christine T; Stull, Maria P; Crockett, Breanne; Jensen, Emily; Lohrmann, Clare; Hebert, Mitchell; Hayes, Bradley;",2024,RA-L,minimizing input,Language Controller,Optimization,UAV,https://www.cairo-lab.com/papers/ral24.pdf
CARPAL: Confidence-aware intent recognition for parallel autonomy,"Huang, Xin; McGill, Stephen G; DeCastro, Jonathan A; Fletcher, Luke; Leonard, John J; Williams, Brian C; Rosman, Guy;",2021,RA-L,minimizing time,No Actual Interaction,Intent/Goal Inference; Input Blending; Optimization,Navigation Robotics,https://arxiv.org/abs/2003.08003
Intent-aware control in kinematically redundant systems: Towards collaborative wearable robots,"Khoramshahi, Mahdi; Morel, Guillaume; Jarrasse, Nathanael;",2021,ICRA,minimizing input,Gesture/Hand Tracking,Filtering,General Manipulation,https://khoramshahi.github.io/_files/2021-ICRA-Intent-aware.pdf
Visual servo of a 6-DOF robotic stereo flexible endoscope based on da Vinci Research Kit (dVRK) system,"Ma, Xin; Song, Chengzhi; Chiu, Philip Waiyan; Li, Zheng;",2020,RA-L,minimizing input,Direct Control Interfaces,Templates; Planning,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/8959288
Deep learning and mixed reality to autocomplete teleoperation,"Zein, Mohammad Kassem; Al Aawar, Majd; Asmar, Daniel; Elhajj, Imad H;",2021,ICRA,minimizing time,Direct Control Interfaces,Input Blending; Generative Modelling; Planning,UAV,https://ieeexplore.ieee.org/abstract/document/9560887
Continuous closed-loop 4-degree-of-freedom holdable haptic guidance,"Walker, Julie M; Okamura, Allison M;",2020,RA-L,improving input quality,Haptic,Intent/Goal Inference,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9184223
Bilateral teleoperation with adaptive impedance control for contact tasks,"Michel, Youssef; Rahal, Rahaf; Pacchierotti, Claudio; Giordano, Paolo Robuffo; Lee, Dongheui;",2021,RA-L,improving input quality,Haptic,Compliance Control; Probabilistic Modelling,Industrial Robotics,https://ieeexplore.ieee.org/abstract/document/9380915/
GoonDAE: denoising-based driver assistance for off-road teleoperation,"Cho, Younggeol; Yun, Hyeonggeun; Lee, Jinwon; Ha, Arim; Yun, Jihyeok;",2023,RA-L,improving input quality,Direct Control Interfaces,Generative Modelling; Deep Learning,Assistive Robotics,https://arxiv.org/pdf/2209.03568
Non-prehensile manipulation in clutter with human-in-the-loop,"Papallas, Rafael; Dogar, Mehmet R;",2020,ICRA,minimizing time,GUI,Planning,General Manipulation,https://arxiv.org/abs/1904.03748
Sensorimotor control sharing with vibrotactile feedback for body integration through avatar robot,"Tanaka, Yoshihiro; Katagiri, Takumi; Yukawa, Hikari; Nishimura, Takumi; Tanada, Ryohei; Ogura, Itsuki; Hagiwara, Takayoshi; Minamizawa, Kouta;",2022,RA-L,minimizing input,Direct Control Interfaces,Divisible; Input Mapping,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9830860
Attentiveness Map Estimation for Haptic Teleoperation of Mobile Robot Obstacle Avoidance and Approach,"Zhong, Ninghan; Hauser, Kris;",2024,RA-L,improving input quality,Haptic,Input Blending; Optimization,Navigation Robotics,https://arxiv.org/abs/2212.08742
On the Feasibility of EEG-based Motor Intention Detection for Real-Time Robot Assistive Control,"Choi, Ho Jin; Das, Satyajeet; Peng, Shaoting; Bajcsy, Ruzena; Figueroa, Nadia;",2024,ICRA,minimizing input,Physiological Signal,Classical ML,Assistive Robotics,https://arxiv.org/abs/2403.08149
Active reward learning from online preferences,"Myers, Vivek; Bıyık, Erdem; Sadigh, Dorsa;",2023,ICRA,minimizing time,GUI,Reinforcement Learning,General Manipulation,https://arxiv.org/abs/2302.13507
Collaborative robotic biopsy with trajectory guidance and needle tip force feedback,"Mieling, Robin; Neidhardt, Maximilian; Latus, Sarah; Stapper, Carolin; Gerlach, Stefan; Kniep, Inga; Heinemann, Axel; Ondruschka, Benjamin; Schlaefer, Alexander;",2023,ICRA,improving input quality,Kinesthetic Control,Virtual Fixtures,Medical Robotics,https://arxiv.org/abs/2306.07129
Fast user adaptation for human motion prediction in physical human–robot interaction,"Moon, Hee-Seung; Seo, Jiwon;",2021,RA-L,improving input quality,Haptic,Input Blending; Intent/Goal Inference; Deep Learning,HRC,https://arxiv.org/abs/2109.08881
Simultaneous haptic guidance and learning of task parameters during robotic teleoperation–a geometrical approach,"Poignonec, Thibault; Nageotte, Florent; Zemiti, Nabil; Bayle, Bernard;",2021,ICRA,improving input quality,Haptic,Compliance Control; Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9560938
Intelligent Mode-switching Framework for Teleoperation,"Kizilkaya, Burak; She, Changyang; Zhao, Guodong; Imran, Muhammad Ali;",2024,ICRA,minimizing time,Haptic,Traded Control; Reinforcement Learning; Intent/Goal Inference,General Manipulation,https://arxiv.org/abs/2402.06047
Online reference trajectory adaptation: A personalized control strategy for lower limb exoskeletons,"Shushtari, Mohammad; Nasiri, Rezvan; Arami, Arash;",2021,RA-L,improving input quality,Kinesthetic Control,Optimization,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9548807
Toward a framework integrating augmented reality and virtual fixtures for safer robot-assisted lymphadenectomy,"Chen, Ziyang; Fan, Ke; Cruciani, Laura; Fontana, Matteo; Muraglia, Lorenzo; Ceci, Francesco; Travaini, Laura; Ferrigno, Giancarlo; De Momi, Elena;",2024,ICRA,improving input quality,Direct Control Interfaces,Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10610099
Hand-worn haptic interface for drone teleoperation,"Macchini, Matteo; Havy, Thomas; Weber, Antoine; Schiano, Fabrizio; Floreano, Dario;",2020,ICRA,improving input quality,Haptic; Gesture/Hand Tracking,Input Blending; Optimization; Virtual Fixtures,UAV,https://arxiv.org/abs/2004.07111
Adaptive Model Prediction Control Framework with Game Theory for Brain-Controlled Air-Ground Collaborative Unmanned System,"Shi, Haonan; Bi, Luzheng; Yang, Zhenge; Ge, Haorui; Fei, Weijie; Wang, Ling;",2024,RA-L,improving input quality,Physiological Signal,Input Blending; Optimization; Intent/Goal Inference; Classical ML,Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document/10816148
A framework for interactive virtual fixture generation for shared teleoperation in unstructured environments,"Pruks, Vitalii; Ryu, Jee-Hwan;",2020,ICRA,improving input quality,Haptic,Input Blending; Optimization,General Manipulation,http://ieeexplore.ieee.org/abstract/document/9196579
Markovian transparency control of an exoskeleton robot,"Escalante, Felix M; dos Santos, Leonardo F; Moreno, Yecid; Siqueira, Adriano AG; Terra, Marco H; Boaventura, Thiago;",2022,RA-L,improving input quality,Physiological Signal,Probabilistic Modelling,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9968063
Locomotion control on human-centaur system with spherical joint interaction,"Yan, Haoyun; Li, Jianquan; Liu, Haifeng; Tu, Zhixin; Yang, Ping; Pang, Muye; Leng, Yuquan; Fu, Chenglong;",2024,RA-L,improving input quality,Kinesthetic Control,Planning,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10480718
Two-stage clustering of human preferences for action prediction in assembly tasks,"Nemlekar, Heramb; Modi, Jignesh; Gupta, Satyandra K; Nikolaidis, Stefanos;",2021,ICRA,improving input quality,Implicit Cues,Probabilistic Graphical Model,HRC,https://ieeexplore.ieee.org/abstract/document/9561649
Finite-horizon synthesis for probabilistic manipulation domains,"Wells, M; Kingston, Zachary; Lahijanian, Morteza; Kavraki, Lydia E; Vardi, Moshe Y;",2021,ICRA,improving input quality,Implicit Cues,Planning; Probabilistic Graphical Model,HRC,https://www.kavrakilab.rice.edu/publications/wells2021-finite-horizon-synthesis.pdf
Patient-tailored adaptive control for robot-aided orthopaedic rehabilitation,"Tamantini, Christian; Cordella, Francesca; Lauretti, Clemente; di Luzio, Francesco Scotto; Bravi, Marco; Bressi, Federica; Draicchio, Francesco; Sterzi, Silvia; Zollo, Loredana;",2022,ICRA,improving input quality,Kinesthetic Control,Imitation Learning; Classical ML,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9811791
Imposing healthy hip motion pattern and range by exoskeleton control for individualized assistance,"Zhang, Qiang; Nalam, Varun; Tu, Xikai; Li, Minhan; Si, Jennie; Lewek, Michael D; Huang, He Helen;",2022,RA-L,improving input quality,Gesture/Hand Tracking,Reinforcement Learning,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9849054
Onboard safety guarantees for racing drones: High-speed geofencing with control barrier functions,"Singletary, Andrew; Swann, Aiden; Chen, Yuxiao; Ames, Aaron D;",2022,RA-L,improving input quality,Direct Control Interfaces,Filtering; Optimization,UAV,https://arxiv.org/abs/2201.04331
Hierarchical Human Motion Intention Prediction for Increasing Efficacy of Human-Robot Collaboration,"Meng, Lingyi; Yang, Lin; Zheng, Enhao;",2024,RA-L,improving input quality,Physiological Signal,Intent/Goal Inference; Probabilistic Modelling,Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document
Forming real-world human-robot cooperation for tasks with general goal,"Tao, Lingfeng; Bowman, Michael; Zhang, Jiucai; Zhang, Xiaoli;",2021,RA-L,minimizing input,Kinesthetic Control,Reinforcement Learning,HRC,https://arxiv.org/abs/2012.10773
Improving generalisation in learning assistance by demonstration for smart wheelchairs,"Schettino, Vinicius; Demiris, Yiannis;",2020,ICRA,improving input quality,Haptic,Generative Modelling; Probabilistic Graphical Model,Assistive Robotics,https://ieeexplore.ieee.org/document/9197490
Measuring interaction bandwidth during physical human-robot collaboration,"Kalinowska, Aleksandra; Schlafly, Millicent; Rudy, Kyra; Dewald, Julius PA; Murphey, Todd D;",2022,RA-L,improving input quality,Haptic,Compliance Control; Virtual Fixtures; Filtering,Assistive Robotics,https://olakali.github.io/assets/pdfs/2022RALKaScRuDeMu.pdf
Haptic teleoperation of flexible needles combining 3d ultrasound guidance and needle tip force feedback,"Aggravi, Marco; Estima, Daniel AL; Krupa, Alexandre; Misra, Sarthak; Pacchierotti, Claudio;",2021,RA-L,improving input quality,Haptic,Compliance Control; Virtual Fixtures; Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9385838
Running guidance for visually impaired people using sensory augmentation technology based robotic system,"Liao, Zhenyu; Luces, Jose V Salazar; Ravankar, Ankit A; Hirata, Yasuhisa;",2023,RA-L,improving input quality,Gesture/Hand Tracking,Input Mapping,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10180006
Adaptive Control for Triadic Human-Robot-FES Collaboration in Gait Rehabilitation: A Pilot Study,"Christou, Andreas; Del-Ama, Antonio J; Moreno, Juan C; Vijayakumar, Sethu;",2024,ICRA,improving input quality,Gesture/Hand Tracking,Filtering,Assistive Robotics,https://arxiv.org/abs/2402.00775
Learning submodular objectives for team environmental monitoring,"Wilde, Nils; Sadeghi, Armin; Smith, Stephen L;",2021,RA-L,minimizing input,No Actual Interaction,Optimization; Multi-Robot Control; Supervisory,Navigation Robotics,https://arxiv.org/abs/2112.08000
3D Autocomplete: Enhancing UAV Teleoperation with AI in the Loop,"Ibrahim, Batool; Elhajj, Imad H; Asmar, Daniel;",2024,ICRA,minimizing time,Direct Control Interfaces,Intent/Goal Inference; Generative Modelling,UAV,https://ieeexplore.ieee.org/abstract/document/10610932
A User-and Slope-Adaptive Control Framework for a Walking Aid Robot,"Cho, Younggeol; Lorenzini, Marta; Fortuna, Andrea; Leonori, Mattia; Ajoudani, Arash;",2024,RA-L,improving input quality,Gesture/Hand Tracking,Compliance Control,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10561502
Task autocorrection for immersive teleoperation,"Wang, Chenyang; Huber, Simon; Coros, Stelian; Poranne, Roi;",2021,ICRA,improving input quality,VR/AR,Classical ML,General Manipulation,https://crl.ethz.ch/papers/TaskAutocorrection.pdf
Online replanning with human-in-the-loop for non-prehensile manipulation in clutter—a trajectory optimization based approach,"Papallas, Rafael; Cohn, Anthony G; Dogar, Mehmet R;",2020,RA-L,maximizing output,GUI,Multi-Robot Control; Supervisory; Planning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9131745
Haptic Feedback of Front Vehicle Motion May Improve Driving Control,"Cheng, Xiaoxiao; Geng, Xianzhe; Huang, Yanpei; Burdet, Etienne;",2024,RA-L,improving input quality,Haptic,Input Mapping,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10758244
Improving complex task performance in powered upper limb exoskeletons with adaptive proportional myoelectric control for user motor strategy tracking,"Peng, Xiangyu; Li, Shunzhang; Stirling, Leia;",2024,RA-L,improving input quality,Physiological Signal,Filtering; Input Mapping,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10487855
Robot-assisted retraction for transoral surgery,"Zhu, Lifeng; Shen, Jiangwei; Yang, Shuyan; Song, Aiguo;",2022,RA-L,minimizing time,Kinesthetic Control,Supervisory; Templates; Filtering ,Medical Robotics,https://ieeexplore.ieee.org/document/9907866
Personalized human-swarm interaction through hand motion,"Macchini, Matteo; De Matteïs, Ludovic; Schiano, Fabrizio; Floreano, Dario;",2021,RA-L,maximizing output,Gesture/Hand Tracking,Input Mapping; Classical ML,Multi-Robot Systems,https://arxiv.org/abs/2103.07731
Semi-Autonomous Grasping Control of Prosthetic Hand and Wrist Based on Motion Prior Field,"Shi, Xu; Guo, Weichao; Xu, Wei; Yang, Zhiyuan; Sheng, Xinjun;",2024,RA-L,improving input quality,Direct Control Interfaces,Imitation Learning,General Manipulation,https://ieeexplore.ieee.org/document/10522893
Reward learning with intractable normalizing functions,"Hoegerman, Joshua; Losey, Dylan;",2023,RA-L,minimizing input,Direct Control Interfaces; Kinesthetic Control,Intent/Goal Inference; Probabilistic Graphical Model,General Manipulation,https://arxiv.org/abs/2305.09606
Teleoperation of a Suspended Aerial Manipulator Using a Handheld Camera with an IMU,"Perozo, Miguel Arpa; Niddam, Ethan; Durand, Sylvain; Cuvillon, Loïc; Gangloff, Jacques;",2024,RA-L,improving input quality,Direct Control Interfaces,Filtering,UAV,https://ieeexplore.ieee.org/abstract/document/10777054
Model-Augmented Energy-Flow Reference for High-Delay Telemanipulation,"Panzirsch, Michael; Bechtel, Nicolai; Hulin, Thomas;",2024,RA-L,improving input quality,Haptic,Filtering,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10419892
